entry,reading,level,root,form,meaning_bn,aspect,person,arabic,bangla,source_pdf,source_page,note
4,1,1,علم,I,জানা,IMPF,1S,أَعْلَمُ,আমি জানি / জানবো,Quran words - level1.pdf,32,
4,1,1,علم,I,জানা,IMPF,1P,نَعْلَمُ,আমরা জানি / জানবো,Quran words - level1.pdf,32,
4,1,1,علم,I,জানা,IMPV,2MS,اِعْلَمْ,জানো (তুমি),Quran words - level1.pdf,32,
4,1,1,علم,I,জানা,IMPV,2MP,اِعْلَمُوا,জানো (তোমরা),Quran words - level1.pdf,32,
5,1,1,جعل,I,"করা, বানানো, তৈরি করা",PERF,3MS,جَعَلَ,সে তৈরি করেছে,Quran words - level1.pdf,32,
5,1,1,جعل,I,"করা, বানানো, তৈরি করা",PERF,3MP,جَعَلُوا,তারা তৈরি করেছে,Quran words - level1.pdf,32,
5,1,1,جعل,I,"করা, বানানো, তৈরি করা",PERF,2MS,جَعَلْتَ,তুমি তৈরি করেছো,Quran words - level1.pdf,32,
5,1,1,جعل,I,"করা, বানানো, তৈরি করা",PERF,2MP,جَعَلْتُمْ,তোমরা তৈরি করেছো,Quran words - level1.pdf,32,
5,1,1,جعل,I,"করা, বানানো, তৈরি করা",PERF,1S,جَعَلْتُ,আমি তৈরি করেছি,Quran words - level1.pdf,32,
5,1,1,جعل,I,"করা, বানানো, তৈরি করা",PERF,1P,جَعَلْنَا,আমরা তৈরি করেছি,Quran words - level1.pdf,32,
5,1,1,جعل,I,"করা, বানানো, তৈরি করা",IMPF,3MS,يَجْعَلُ,সে তৈরি করে / করবে,Quran words - level1.pdf,33,
5,1,1,جعل,I,"করা, বানানো, তৈরি করা",IMPF,3MP,يَجْعَلُونَ,তারা তৈরি করে / করবে,Quran words - level1.pdf,33,
5,1,1,جعل,I,"করা, বানানো, তৈরি করা",IMPF,2MS,تَجْعَلُ,তুমি তৈরি করো / করবে,Quran words - level1.pdf,33,
5,1,1,جعل,I,"করা, বানানো, তৈরি করা",IMPF,2MP,تَجْعَلُونَ,তোমরা তৈরি করো / করবে,Quran words - level1.pdf,33,
5,1,1,جعل,I,"করা, বানানো, তৈরি করা",IMPF,1S,أَجْعَلُ,আমি তৈরি করি / করব,Quran words - level1.pdf,33,
5,1,1,جعل,I,"করা, বানানো, তৈরি করা",IMPF,1P,نَجْعَلُ,আমরা তৈরি করি / করব,Quran words - level1.pdf,33,
5,1,1,جعل,I,"করা, বানানো, তৈরি করা",IMPV,2MS,اِجْعَلْ,তৈরি করো (তুমি),Quran words - level1.pdf,33,
5,1,1,جعل,I,"করা, বানানো, তৈরি করা",IMPV,2MP,اِجْعَلُوا,তৈরি করো (তোমরা),Quran words - level1.pdf,33,
6,1,1,كفر,I,অস্বীকার করা,PERF,3MS,كَفَرَ,সে অস্বীকার করেছে,Quran words - level1.pdf,33,
6,1,1,كفر,I,অস্বীকার করা,PERF,3MP,كَفَرُوا,তারা অস্বীকার করেছে,Quran words - level1.pdf,33,
6,1,1,كفر,I,অস্বীকার করা,PERF,2MS,كَفَرْتَ,তুমি অস্বীকার করেছো,Quran words - level1.pdf,33,
6,1,1,كفر,I,অস্বীকার করা,PERF,2MP,كَفَرْتُمْ,তোমরা অস্বীকার করেছো,Quran words - level1.pdf,33,
6,1,1,كفر,I,অস্বীকার করা,PERF,1S,كَفَرْتُ,আমি অস্বীকার করেছি,Quran words - level1.pdf,33,
6,1,1,كفر,I,অস্বীকার করা,PERF,1P,كَفَرْنَا,আমরা অস্বীকার করেছি,Quran words - level1.pdf,33,
6,1,1,كفر,I,অস্বীকার করা,IMPF,3MS,يَكْفُرُ,সে অস্বীকার করে / করবে,Quran words - level1.pdf,33,
6,1,1,كفر,I,অস্বীকার করা,IMPF,3MP,يَكْفُرُونَ,তারা অস্বীকার করে / করবে,Quran words - level1.pdf,33,
6,1,1,كفر,I,অস্বীকার করা,IMPF,2MS,تَكْفُرُ,তুমি অস্বীকার কর / করবে,Quran words - level1.pdf,33,
6,1,1,كفر,I,অস্বীকার করা,IMPF,2MP,تَكْفُرُونَ,তোমরা অস্বীকার কর / করবে,Quran words - level1.pdf,33,
6,1,1,كفر,I,অস্বীকার করা,IMPF,1S,أَكْفُرُ,আমি অস্বীকার করি / করব,Quran words - level1.pdf,33,
6,1,1,كفر,I,অস্বীকার করা,IMPF,1P,نَكْفُرُ,আমরা অস্বীকার করি / করব,Quran words - level1.pdf,33,
6,1,1,كفر,I,অস্বীকার করা,IMPV,2MS,اُكْفُرْ,অস্বীকার করো (তুমি),Quran words - level1.pdf,33,
6,1,1,كفر,I,অস্বীকার করা,IMPV,2MP,اُكْفُرُوا,অস্বীকার করো (তোমরা),Quran words - level1.pdf,33,
7,1,1,جيا,I,আসা,PERF,3MS,جَاءَ,সে এসেছে,Quran words - level1.pdf,33,
7,1,1,جيا,I,আসা,PERF,3MP,جَائُوا,তারা এসেছে,Quran words - level1.pdf,33,
7,1,1,جيا,I,আসা,PERF,2MS,جِئْتَ,তুমি এসেছো,Quran words - level1.pdf,33,
7,1,1,جيا,I,আসা,PERF,2MP,جِئْتُمْ,তোমরা এসেছো,Quran words - level1.pdf,33,
7,1,1,جيا,I,আসা,PERF,1S,جِئْتُ,আমি এসেছি,Quran words - level1.pdf,33,
7,1,1,جيا,I,আসা,PERF,1P,جِئْنَا,আমরা এসেছি,Quran words - level1.pdf,33,
7,1,1,جيا,I,আসা,IMPF,3MS,يَجِىءُ,সে আসে / আসবে,Quran words - level1.pdf,33,
7,1,1,جيا,I,আসা,IMPF,3MP,يَجِيئُونَ,তারা আসে / আসবে,Quran words - level1.pdf,33,
7,1,1,جيا,I,আসা,IMPF,2MS,تَجِىءُ,তুমি আসো / আসবে,Quran words - level1.pdf,33,
7,1,1,جيا,I,আসা,IMPF,2MP,تَجِيئُونَ,তোমরা আসো / আসবে,Quran words - level1.pdf,33,
7,1,1,جيا,I,আসা,IMPF,1S,أَجِىءُ,আমি আসি / আসবো,Quran words - level1.pdf,33,
7,1,1,جيا,I,আসা,IMPF,1P,نَجِىءُ,আমরা আসি / আসবো,Quran words - level1.pdf,33,
7,1,1,جيا,I,আসা,IMPV,2MS,جِئْ,আসো (তুমি),Quran words - level1.pdf,33,
7,1,1,جيا,I,আসা,IMPV,2MP,جِيئُوا,আসো (তোমরা),Quran words - level1.pdf,33,
8,1,1,عمل,I,কাজ করা,PERF,3MS,عَمِلَ,সে কাজ করেছে,Quran words - level1.pdf,34,
8,1,1,عمل,I,কাজ করা,PERF,3MP,عَمِلُوا,তারা কাজ করেছে,Quran words - level1.pdf,34,
8,1,1,عمل,I,কাজ করা,PERF,2MS,عَمِلْتَ,তুমি কাজ করেছো,Quran words - level1.pdf,34,
8,1,1,عمل,I,কাজ করা,PERF,2MP,عَمِلْتُمْ,তোমরা কাজ করেছো,Quran words - level1.pdf,34,
8,1,1,عمل,I,কাজ করা,PERF,1S,عَمِلْتُ,আমি কাজ করেছি,Quran words - level1.pdf,34,
8,1,1,عمل,I,কাজ করা,PERF,1P,عَمِلْنَا,আমরা কাজ করেছি,Quran words - level1.pdf,34,
8,1,1,عمل,I,কাজ করা,IMPF,3MS,يَعْمَلُ,সে কাজ করে / করবে,Quran words - level1.pdf,34,
8,1,1,عمل,I,কাজ করা,IMPF,3MP,يَعْمَلُونَ,তারা কাজ করে / করবে,Quran words - level1.pdf,34,
8,1,1,عمل,I,কাজ করা,IMPF,2MS,تَعْمَلُ,তুমি কাজ কর / করবে,Quran words - level1.pdf,34,
8,1,1,عمل,I,কাজ করা,IMPF,2MP,تَعْمَلُونَ,তোমরা কাজ কর / করবে,Quran words - level1.pdf,34,
8,1,1,عمل,I,কাজ করা,IMPF,1S,أَعْمَلُ,আমি কাজ করি / করব,Quran words - level1.pdf,34,
8,1,1,عمل,I,কাজ করা,IMPF,1P,نَعْمَلُ,আমরা কাজ করি / করব,Quran words - level1.pdf,34,
8,1,1,عمل,I,কাজ করা,IMPV,2MS,اِعْمَلْ,কাজ করো (তুমি),Quran words - level1.pdf,34,
8,1,1,عمل,I,কাজ করা,IMPV,2MP,اِعْمَلُوا,কাজ করো (তোমরা),Quran words - level1.pdf,34,
9,1,1,اتي,IV,দেওয়া,PERF,3MS,آتَى,সে দিয়েছে,Quran words - level1.pdf,34,
9,1,1,اتي,IV,দেওয়া,PERF,3MP,آتَوْا,তারা দিয়েছে,Quran words - level1.pdf,34,
9,1,1,اتي,IV,দেওয়া,PERF,2MS,آتَيْتَ,তুমি দিয়েছো,Quran words - level1.pdf,34,
9,1,1,اتي,IV,দেওয়া,PERF,2MP,آتَيْتُمْ,তোমরা দিয়েছো,Quran words - level1.pdf,34,
9,1,1,اتي,IV,দেওয়া,PERF,1S,آتَيْتُ,আমি দিয়েছি,Quran words - level1.pdf,34,
9,1,1,اتي,IV,দেওয়া,PERF,1P,آتَيْنَا,আমরা দিয়েছি,Quran words - level1.pdf,34,
9,1,1,اتي,IV,দেওয়া,IMPF,3MS,يُؤْتِى,সে দেয় / দিবে,Quran words - level1.pdf,34,
9,1,1,اتي,IV,দেওয়া,IMPF,3MP,يُؤْتُونَ,তারা দেয় / দিবে,Quran words - level1.pdf,34,
9,1,1,اتي,IV,দেওয়া,IMPF,2MS,تُؤْتِى,তুমি দাও / দিবে,Quran words - level1.pdf,34,
9,1,1,اتي,IV,দেওয়া,IMPF,2MP,تُؤْتُونَ,তোমরা দাও / দিবে,Quran words - level1.pdf,34,
9,1,1,اتي,IV,দেওয়া,IMPF,1S,أُؤْتِى,আমি দিই / দিবো,Quran words - level1.pdf,34,
9,1,1,اتي,IV,দেওয়া,IMPF,1P,نُؤْتِى,আমরা দিই / দিবো,Quran words - level1.pdf,34,
9,1,1,اتي,IV,দেওয়া,IMPV,2MS,آتِ,দাও (তুমি),Quran words - level1.pdf,34,
9,1,1,اتي,IV,দেওয়া,IMPV,2MP,آتُوا,দাও (তোমরা),Quran words - level1.pdf,34,
10,1,1,راي,I,দেখা,PERF,3MS,رَأَى,সে দেখেছে,Quran words - level1.pdf,34,
10,1,1,راي,I,দেখা,PERF,3MP,رَأَوْا,তারা দেখেছে,Quran words - level1.pdf,34,
10,1,1,راي,I,দেখা,PERF,2MS,رَأَيْتَ,তুমি দেখেছো,Quran words - level1.pdf,34,
10,1,1,راي,I,দেখা,PERF,2MP,رَأَيْتُمْ,তোমরা দেখেছো,Quran words - level1.pdf,34,
10,1,1,راي,I,দেখা,PERF,1S,رَأَيْتُ,আমি দেখেছি,Quran words - level1.pdf,34,
10,1,1,راي,I,দেখা,PERF,1P,رَأَيْنَا,আমরা দেখেছি,Quran words - level1.pdf,34,
10,1,1,راي,I,দেখা,IMPF,3MS,يَرَى,সে দেখে / দেখবে,Quran words - level1.pdf,35,
10,1,1,راي,I,দেখা,IMPF,3MP,يَرَوْنَ,তারা দেখে / দেখবে,Quran words - level1.pdf,35,
10,1,1,راي,I,দেখা,IMPF,2MS,تَرَى,তুমি দেখ / দেখবে,Quran words - level1.pdf,35,
10,1,1,راي,I,দেখা,IMPF,2MP,تَرَوْنَ,তোমরা দেখ / দেখবে,Quran words - level1.pdf,35,
10,1,1,راي,I,দেখা,IMPF,1S,أَرَى,আমি দেখি / দেখব,Quran words - level1.pdf,35,
10,1,1,راي,I,দেখা,IMPF,1P,نَرَى,আমরা দেখি / দেখব,Quran words - level1.pdf,35,
10,1,1,راي,I,দেখা,IMPV,2MS,رَ,দেখো (তুমি),Quran words - level1.pdf,35,
10,1,1,راي,I,দেখা,IMPV,2MP,رَوْا,দেখো (তোমরা),Quran words - level1.pdf,35,
11,1,1,اتي,I,"আসা, নিয়ে আসা",PERF,3MS,أَتَى,সে এসেছে,Quran words - level1.pdf,35,
11,1,1,اتي,I,"আসা, নিয়ে আসা",PERF,3MP,أَتَوْا,তারা এসেছে,Quran words - level1.pdf,35,
11,1,1,اتي,I,"আসা, নিয়ে আসা",PERF,2MS,أَتَيْتَ,তুমি এসেছো,Quran words - level1.pdf,35,
11,1,1,اتي,I,"আসা, নিয়ে আসা",PERF,2MP,أَتَيْتُمْ,তোমরা এসেছো,Quran words - level1.pdf,35,
11,1,1,اتي,I,"আসা, নিয়ে আসা",PERF,1S,أَتَيْتُ,আমি এসেছি,Quran words - level1.pdf,35,
11,1,1,اتي,I,"আসা, নিয়ে আসা",PERF,1P,أَتَيْنَا,আমরা এসেছি,Quran words - level1.pdf,35,
11,1,1,اتي,I,"আসা, নিয়ে আসা",IMPF,3MS,يَأْتِى,সে আসে / আসবে,Quran words - level1.pdf,35,
11,1,1,اتي,I,"আসা, নিয়ে আসা",IMPF,3MP,يَأْتُونَ,তারা আসে / আসবে,Quran words - level1.pdf,35,
11,1,1,اتي,I,"আসা, নিয়ে আসা",IMPF,2MS,تَأْتِى,তুমি আসো / আসবে,Quran words - level1.pdf,35,
11,1,1,اتي,I,"আসা, নিয়ে আসা",IMPF,2MP,تَأْتُونَ,তোমরা আসো / আসবে,Quran words - level1.pdf,35,
11,1,1,اتي,I,"আসা, নিয়ে আসা",IMPF,1S,آتِى,আমি আসি / আসবো,Quran words - level1.pdf,35,
11,1,1,اتي,I,"আসা, নিয়ে আসা",IMPF,1P,نَأْتِى,আমরা আসি / আসবো,Quran words - level1.pdf,35,
11,1,1,اتي,I,"আসা, নিয়ে আসা",IMPV,2MS,أَتِ,আসো (তুমি),Quran words - level1.pdf,35,
11,1,1,اتي,I,"আসা, নিয়ে আসা",IMPV,2MP,أَتُوا,আসো (তোমরা),Quran words - level1.pdf,35,
12,1,1,شيا,I,ইচ্ছা করা,PERF,3MS,شَاءَ,সে ইচ্ছা করেছে,Quran words - level1.pdf,35,
12,1,1,شيا,I,ইচ্ছা করা,PERF,3MP,شَائُوا,তারা ইচ্ছা করেছে,Quran words - level1.pdf,35,
12,1,1,شيا,I,ইচ্ছা করা,PERF,2MS,شِئْتَ,তুমি ইচ্ছা করেছো,Quran words - level1.pdf,35,
12,1,1,شيا,I,ইচ্ছা করা,PERF,2MP,شِئْتُمْ,তোমরা ইচ্ছা করেছো,Quran words - level1.pdf,35,
12,1,1,شيا,I,ইচ্ছা করা,PERF,1S,شِئْتُ,আমি ইচ্ছা করেছি,Quran words - level1.pdf,35,
12,1,1,شيا,I,ইচ্ছা করা,PERF,1P,شِئْنَا,আমরা ইচ্ছা করেছি,Quran words - level1.pdf,35,
12,1,1,شيا,I,ইচ্ছা করা,IMPF,3MS,يَشَاءُ,সে ইচ্ছা করে / করবে,Quran words - level1.pdf,35,
12,1,1,شيا,I,ইচ্ছা করা,IMPF,3MP,يَشَائُونَ,তারা ইচ্ছা করে / করবে,Quran words - level1.pdf,35,
12,1,1,شيا,I,ইচ্ছা করা,IMPF,2MS,تَشَاءُ,তুমি ইচ্ছা করো / করবে,Quran words - level1.pdf,35,
12,1,1,شيا,I,ইচ্ছা করা,IMPF,2MP,تَشَائُونَ,তোমরা ইচ্ছা করো / করবে,Quran words - level1.pdf,35,
12,1,1,شيا,I,ইচ্ছা করা,IMPF,1S,أَشَاءُ,আমি ইচ্ছা করি / করবো,Quran words - level1.pdf,35,
12,1,1,شيا,I,ইচ্ছা করা,IMPF,1P,نَشَاءُ,আমরা ইচ্ছা করি / করবো,Quran words - level1.pdf,35,
12,1,1,شيا,I,ইচ্ছা করা,IMPV,2MS,شَأْ,ইচ্ছা করো (তুমি),Quran words - level1.pdf,35,
12,1,1,شيا,I,ইচ্ছা করা,IMPV,2MP,شَائُوا,ইচ্ছা করো (তোমরা),Quran words - level1.pdf,35,
13,1,1,خلق,I,সৃষ্টি করা,PERF,3MS,خَلَقَ,সে সৃষ্টি করেছে,Quran words - level1.pdf,36,
13,1,1,خلق,I,সৃষ্টি করা,PERF,3MP,خَلَقُوا,তারা সৃষ্টি করেছে,Quran words - level1.pdf,36,
13,1,1,خلق,I,সৃষ্টি করা,PERF,2MS,خَلَقْتَ,তুমি সৃষ্টি করেছো,Quran words - level1.pdf,36,
13,1,1,خلق,I,সৃষ্টি করা,PERF,2MP,خَلَقْتُمْ,তোমরা সৃষ্টি করেছো,Quran words - level1.pdf,36,
13,1,1,خلق,I,সৃষ্টি করা,PERF,1S,خَلَقْتُ,আমি সৃষ্টি করেছি,Quran words - level1.pdf,36,
13,1,1,خلق,I,সৃষ্টি করা,PERF,1P,خَلَقْنَا,আমরা সৃষ্টি করেছি,Quran words - level1.pdf,36,
13,1,1,خلق,I,সৃষ্টি করা,IMPF,3MS,يَخْلُقُ,সে সৃষ্টি করে / করবে,Quran words - level1.pdf,36,
13,1,1,خلق,I,সৃষ্টি করা,IMPF,3MP,يَخْلُقُونَ,তারা সৃষ্টি করে / করবে,Quran words - level1.pdf,36,
13,1,1,خلق,I,সৃষ্টি করা,IMPF,2MS,تَخْلُقُ,তুমি সৃষ্টি কর / করবে,Quran words - level1.pdf,36,
13,1,1,خلق,I,সৃষ্টি করা,IMPF,2MP,تَخْلُقُونَ,তোমরা সৃষ্টি কর / করবে,Quran words - level1.pdf,36,
13,1,1,خلق,I,সৃষ্টি করা,IMPF,1S,أَخْلُقُ,আমি সৃষ্টি করি / করবো,Quran words - level1.pdf,36,
13,1,1,خلق,I,সৃষ্টি করা,IMPF,1P,نَخْلُقُ,আমরা সৃষ্টি করি / করবো,Quran words - level1.pdf,36,
13,1,1,خلق,I,সৃষ্টি করা,IMPV,2MS,اُخْلُقْ,সৃষ্টি করো (তুমি),Quran words - level1.pdf,36,
13,1,1,خلق,I,সৃষ্টি করা,IMPV,2MP,اُخْلُقُوا,সৃষ্টি করো (তোমরা),Quran words - level1.pdf,36,
14,1,1,نزل,IV,নাজিল করা,PERF,3MS,أَنْزَلَ,সে নাজিল করেছে,Quran words - level1.pdf,36,
14,1,1,نزل,IV,নাজিল করা,PERF,3MP,أَنْزَلُوا,তারা নাজিল করেছে,Quran words - level1.pdf,36,
14,1,1,نزل,IV,নাজিল করা,PERF,2MS,أَنْزَلْتَ,তুমি নাজিল করেছো,Quran words - level1.pdf,36,
14,1,1,نزل,IV,নাজিল করা,PERF,2MP,أَنْزَلْتُمْ,তোমরা নাজিল করেছো,Quran words - level1.pdf,36,
14,1,1,نزل,IV,নাজিল করা,PERF,1S,أَنْزَلْتُ,আমি নাজিল করেছি,Quran words - level1.pdf,36,
14,1,1,نزل,IV,নাজিল করা,PERF,1P,أَنْزَلْنَا,আমরা নাজিল করেছি,Quran words - level1.pdf,36,
14,1,1,نزل,IV,নাজিল করা,IMPF,3MS,يُنْزِلُ,সে নাজিল করে / করবে,Quran words - level1.pdf,36,
14,1,1,نزل,IV,নাজিল করা,IMPF,3MP,يُنْزِلُونَ,তারা নাজিল করে / করবে,Quran words - level1.pdf,36,
14,1,1,نزل,IV,নাজিল করা,IMPF,2MS,تُنْزِلُ,তুমি নাজিল কর / করবে,Quran words - level1.pdf,36,
14,1,1,نزل,IV,নাজিল করা,IMPF,2MP,تُنْزِلُونَ,তোমরা নাজিল কর / করবে,Quran words - level1.pdf,36,
14,1,1,نزل,IV,নাজিল করা,IMPF,1S,أُنْزِلُ,আমি নাজিল করি / করবো,Quran words - level1.pdf,36,
14,1,1,نزل,IV,নাজিল করা,IMPF,1P,نُنْزِلُ,আমরা নাজিল করি / করবো,Quran words - level1.pdf,36,
14,1,1,نزل,IV,নাজিল করা,IMPV,2MS,أَنْزِلْ,নাজিল করো (তুমি),Quran words - level1.pdf,36,
14,1,1,نزل,IV,নাজিল করা,IMPV,2MP,أَنْزِلُوا,নাজিল করো (তোমরা),Quran words - level1.pdf,36,
15,1,1,كذب,II,অস্বীকার করা,PERF,3MS,كَذَّبَ,সে অস্বীকার করেছে,Quran words - level1.pdf,36,
15,1,1,كذب,II,অস্বীকার করা,PERF,3MP,كَذَّبُوا,তারা অস্বীকার করেছে,Quran words - level1.pdf,36,
15,1,1,كذب,II,অস্বীকার করা,PERF,2MS,كَذَّبْتَ,তুমি অস্বীকার করেছো,Quran words - level1.pdf,36,
15,1,1,كذب,II,অস্বীকার করা,PERF,2MP,كَذَّبْتُمْ,তোমরা অস্বীকার করেছো,Quran words - level1.pdf,36,
15,1,1,كذب,II,অস্বীকার করা,PERF,1S,كَذَّبْتُ,আমি অস্বীকার করেছি,Quran words - level1.pdf,36,
15,1,1,كذب,II,অস্বীকার করা,PERF,1P,كَذَّبْنَا,আমরা অস্বীকার করেছি,Quran words - level1.pdf,36,
15,1,1,كذب,II,অস্বীকার করা,IMPF,3MS,يُكَذِّبُ,সে অস্বীকার করে / করবে,Quran words - level1.pdf,37,
15,1,1,كذب,II,অস্বীকার করা,IMPF,3MP,يُكَذِّبُونَ,তারা অস্বীকার করে / করবে,Quran words - level1.pdf,37,
15,1,1,كذب,II,অস্বীকার করা,IMPF,2MS,تُكَذِّبُ,তুমি অস্বীকার কর / করবে,Quran words - level1.pdf,37,
15,1,1,كذب,II,অস্বীকার করা,IMPF,2MP,تُكَذِّبُونَ,তোমরা অস্বীকার কর / করবে,Quran words - level1.pdf,37,
15,1,1,كذب,II,অস্বীকার করা,IMPF,1S,أُكَذِّبُ,আমি অস্বীকার করি / করবো,Quran words - level1.pdf,37,
15,1,1,كذب,II,অস্বীকার করা,IMPF,1P,نُكَذِّبُ,আমরা অস্বীকার করি / করবো,Quran words - level1.pdf,37,
